Total_Molecules: 84
Total_Reactions: 735
Sorting by     : TP Descending
************************************************************

O				PRODUCTION RXS		INT RX RATE	TP = 6.99e+11

  R454	O(1D)	+ CO2		= CO2	+ O		4.308149e+11
  P3	O3			= O2	+ O		1.501164e+11
  P2	O2			= O	+ O(1D)		3.600150e+10
  P36	CO2			= CO	+ O		2.187347e+10
  P1	O2			= O	+ O		1.815818e+10 (x2)
  R458	O(1D)	+ N2		= O	+ N2		1.469345e+10
  R464	O(1D)	+ O2		= O	+ O2		2.802224e+09
  P8	NO2			= NO	+ O		2.012382e+09
  R6	C	+ O2		= CO	+ O		1.946577e+09
  P35	CO			= C	+ O		1.946573e+09
  P10	NO3			= NO2	+ O		7.432072e+07
  P46	SO2			= SO	+ O		4.936202e+07
  R181	H	+ HO2		= O	+ H2O		1.131444e+07
  P5	HO2			= O	+ OH		4.682269e+06
  R544	SO	+ O2		= SO2	+ O		3.968309e+06
  T1	O3			= O2	+ O		8.884881e+05
  R466	O(1D)	+ O3		= O2	+ O	+ O	2.825841e+05 (x2)
  R536	S	+ O2		= SO	+ O		2.304440e+05
  P51	SO			= S	+ O		2.282685e+05
  R526	OH	+ OH		= H2O	+ O		7.860742e+03
  P13	N2O5			= NO3	+ NO	+ O	1.376425e+03
  P30	SO3			= SO2	+ O		1.363738e+03
  P44	NO			= N	+ O		8.238846e+02
  P49	HSO			= HS	+ O		4.299672e+02
  R291	N	+ NO		= O	+ N2		3.075766e+02
  P16	HNO3			= HNO2	+ O		2.677579e+01
  R293	N	+ O2		= NO	+ O		5.906455e+00
  T44	HSO2			= O	+ HSO		5.209649e+00
  R40	NH	+ OH		= NH2	+ O		3.240807e+00
  R292	N	+ NO2		= N2O	+ O		1.666362e+00
  R332	NO	+ C		= CN	+ O		6.957566e-01
  R562	SO21	+ O2		= O	+ SO3		9.541311e-02
  R341	NO	+ CH		= O	+ HCN		1.651754e-02
  R352	NO	+ CNO		= CO	+ N2	+ O	1.910743e-05
  R644	NH2	+ OH		= NH3	+ O		1.850007e-06
  R478	OH	+ C2H		= C2H2	+ O		1.693639e-09
  R507	OH	+ CN		= O	+ HCN		5.955245e-11
  R307	NH	+ O2		= O	+ HNO		2.164981e-11
  R164	H	+ CNO		= HCN	+ O		4.175757e-13
  R509	OH	+ CNO		= HCNO	+ O		3.205053e-13
  R174	H	+ HNO		= NH2	+ O		2.593838e-16
  R540	CS	+ O2		= OCS	+ O		3.080002e-20
  T4	N2O			= N2	+ O		1.606609e-22
  T5	NO2			= NO	+ O		5.592997e-30
  T41	SO3			= SO2	+ O		7.309560e-46
  R187	H	+ NO		= NH	+ O		4.895468e-47

O				LOSS RXS		INT RX RATE	TL = 6.99e+11

  M35	O	+ O2		= O3			2.711266e+11
  M34	O	+ O		= O2			1.633126e+11 (x2)
  R445	O	+ OH		= O2	+ H		7.419119e+10
  R441	O	+ HO2		= OH	+ O2		2.283094e+10
  R433	O	+ H2		= H	+ OH		1.782500e+09
  M16	H	+ O		= OH			1.046946e+09
  R444	O	+ O3		= O2	+ O2		4.540380e+08
  R442	O	+ NO2		= NO	+ O2		1.587171e+08
  M33	O	+ NO2		= NO3			9.574508e+07
  R413	O	+ CH2O		= CHO	+ OH		6.863303e+07
  R415	O	+ CH3		= CH2O	+ H		6.682778e+07
  M31	O	+ CO		= CO2			4.509211e+07
  R426	O	+ CHO		= CO	+ OH		3.526811e+07
  R427	O	+ CHO		= CO2	+ H		3.526811e+07
  R416	O	+ CH3		= CO	+ H2	+ H	2.730392e+07
  R423	O	+ CH4		= CH3	+ OH		2.401619e+07
  M32	O	+ NO		= NO2			1.214998e+07
  M49	SO2	+ O		= SO3			1.040653e+07
  M46	SO	+ O		= SO2			7.826794e+06
  R231	H2S	+ O		= OH	+ HS		7.322324e+06
  R408	O	+ CH		= CO	+ H		6.627211e+06
  R411	O	+ CH2		= CO	+ H	+ H	3.968836e+06
  R439	O	+ HNO		= OH	+ NO		2.719397e+06
  R412	O	+ CH2		= CO	+ H2		2.414375e+06
  R434	O	+ H2O2		= OH	+ HO2		3.497914e+05
  R409	O	+ CH2		= CH	+ OH		2.381302e+05
  R578	HSO	+ O		= OH	+ SO		2.162970e+05
  R266	HS	+ O		= H	+ SO		1.905011e+05
  R419	O	+ CH3O		= CH2O	+ OH		1.413617e+05
  R428	O	+ CHO2		= CO2	+ OH		6.769617e+04
  R406	O	+ C2H6		= C2H5	+ OH		6.551128e+04
  R402	O	+ C2H5		= C2H5O			5.624162e+04
  R403	O	+ C2H5		= C2H4O	+ H		5.278721e+04
  R443	O	+ NO3		= NO2	+ O2		5.200389e+04
  R420	O	+ CH3O		= CH3	+ O2		5.048632e+04
  R401	O	+ C2H4O		= C2H3O	+ OH		3.248685e+04
  R414	O	+ CH3		= CH3O			1.842090e+04
  R405	O	+ C2H5		= CH2O	+ CH3		1.059713e+04
  R404	O	+ C2H5		= C2H4	+ OH		5.624162e+03
  R398	O	+ C2H4		= CH3	+ CHO		4.176064e+03
  R400	O	+ C2H4		= CH2O	+ CH2		2.912342e+03
  R396	O	+ C2H4		= C2H3O	+ H		1.747368e+03
  R391	O	+ C2H2		= CO	+ CH2		5.599621e+02
  R440	O	+ HNO4		= HNO3	+ O2		5.374439e+02
  R399	O	+ C2H4		= C2H2O	+ H2		2.496240e+02
  R424	O	+ CH4O		= CH3O	+ OH		2.011652e+02
  M26	N	+ O		= NO			5.068342e+01
  R417	O	+ CH3NO2	= OH	+ CH2O	+ NO	4.205849e+01
  R274	HSO3	+ O		= OH	+ SO3		4.056501e+01
  R418	O	+ CH3NO3	= OH	+ CH2O	+ NO2	2.492218e+01
  R322	NH2	+ O		= H	+ HNO		1.292904e+01
  R407	O	+ CH		= OH	+ C		3.138935e+00
  R397	O	+ C2H4		= C2H3	+ OH		2.082334e+00
  R323	NH2	+ O		= OH	+ NH		2.007723e+00
  R390	O	+ C2H2		= H	+ C2HO		1.511421e+00
  R324	NH2	+ O		= H2	+ NO		1.436560e+00
  R430	O	+ CN		= CO	+ N		7.444265e-01
  R389	O	+ C2H		= CO	+ CH		2.826769e-01
  R422	O	+ CH3O2		= CH3O	+ O2		2.108954e-01
  R395	O	+ C2H3		= C2H2O	+ H		6.319344e-02
  R393	O	+ C2H3		= C2H3O			6.085272e-02
  R394	O	+ C2H3		= C2H2	+ OH		6.085272e-02
  R425	O	+ CH4O2		= CH3O2	+ OH		2.196889e-02
  R431	O	+ CNO		= CO	+ NO		5.515637e-03
  R435	O	+ HCN		= H	+ CNO		6.839862e-04
  R436	O	+ HCN		= CO	+ NH		2.931369e-04
  R438	O	+ HCNO		= CO2	+ NH		7.145339e-05
  R446	O	+ S2		= S	+ SO		1.784278e-05
  R304	NH	+ O		= NO	+ H		1.189027e-05
  R305	NH	+ O		= OH	+ N		1.189027e-06
  R437	O	+ HCNO		= CNO	+ OH		3.015915e-07
  R553	SO2	+ O		= SO	+ O2		1.854433e-07
  R475	OCS	+ O		= CO	+ SO		2.739117e-09
  R392	O	+ C2H2N		= CH2O	+ CN		2.092986e-10
  R432	O	+ CNO		= CN	+ O2		1.451768e-10
  R125	CS	+ O		= CO	+ S		6.095418e-13
  R555	SO3	+ O		= SO2	+ O2		1.714178e-27
  R429	O	+ CN		= C	+ NO		3.673850e-34
  R106	CH4S	+ O		= CH3	+ HSO		0.000000e+00

************************************************************

O2				PRODUCTION RXS		INT RX RATE	TP = 5.37e+11

  M34	O	+ O		= O2			1.633126e+11
  P3	O3			= O2	+ O		1.501164e+11
  R445	O	+ OH		= O2	+ H		7.419119e+10
  R192	H	+ O3		= OH	+ O2		7.192972e+10
  P4	O3			= O2	+ O(1D)		4.849548e+10
  R441	O	+ HO2		= OH	+ O2		2.283094e+10
  R464	O(1D)	+ O2		= O	+ O2		2.802224e+09
  M19	HO2	+ HO2		= H2O2	+ O2		1.368503e+09
  R257	HO2	+ HO2		= H2O2	+ O2		7.953189e+08
  R444	O	+ O3		= O2	+ O2		4.540380e+08 (x2)
  T12	HNO4			= O2	+ HNO2		2.868668e+08
  R442	O	+ NO2		= NO	+ O2		1.587171e+08
  R182	H	+ HO2		= H2	+ O2		4.879350e+07
  R261	HO2	+ O3		= OH	+ O2	+ O2	3.394116e+07 (x2)
  R354	NO	+ O3		= NO2	+ O2		3.196516e+07
  R545	SO	+ O3		= SO2	+ O2		2.329550e+07
  P9	NO3			= NO	+ O2		1.019575e+07
  R269	HS	+ O3		= O2	+ HSO		6.204987e+06
