Total_Molecules: 84
Total_Reactions: 735
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 2.61e+10

  P56	C2H2			= C2H	+ H		4.104037e+09
  R511	OH	+ CO		= CO2	+ H		2.817662e+09
  T46	CHO			= CO	+ H		2.573107e+09
  R195	H2	+ C2H		= C2H2	+ H		2.386026e+09
  P45	H2S			= HS	+ H		2.245991e+09
  R512	OH	+ H2		= H2O	+ H		1.801274e+09
  P6	H2O			= H	+ OH		1.386316e+09
  P42	NH3			= NH2	+ H		1.319463e+09
  P20	CH2O			= CHO	+ H		1.220651e+09
  R212	H2	+ NH2		= NH3	+ H		1.201355e+09
  R202	H2	+ CH		= CH2	+ H		1.029002e+09
  R597	CH21	+ H2		= CH3	+ H		7.278182e+08
  P32	CH4			= CH3	+ H		6.143421e+08
  R433	O	+ H2		= H	+ OH		5.580345e+08
  R455	O(1D)	+ H2		= H	+ OH		5.167800e+08
  R427	O	+ CHO		= CO2	+ H		3.923904e+08
  R266	HS	+ O		= H	+ SO		2.613170e+08
  R415	O	+ CH3		= CH2O	+ H		1.078210e+08
  P71	HNO			= NO	+ H		9.992729e+07
  P59	C2H4			= C2H2	+ H	+ H	9.479593e+07 (x2)
  P34	CH4			= CH	+ H2	+ H	8.990373e+07
  P68	N2H4			= N2H3	+ H		8.119448e+07
  R533	S	+ HS		= H	+ S2		7.780929e+07
  R33	CH	+ CH4		= C2H4	+ H		4.924092e+07
  P63	C2H6			= C2H4	+ H	+ H	4.639260e+07 (x2)
  R416	O	+ CH3		= CO	+ H2	+ H	4.405260e+07
  P40	CH4O			= CH3O	+ H		3.675222e+07
  P60	C2H4			= C2H3	+ H		1.895919e+07
  R396	O	+ C2H4		= C2H3O	+ H		8.471109e+06
  R322	NH2	+ O		= H	+ HNO		8.264338e+06
  P57	C2H3			= C2H2	+ H		7.151705e+06
  R395	O	+ C2H3		= C2H2O	+ H		7.081841e+06
  R403	O	+ C2H5		= C2H4O	+ H		1.381281e+06
  R528	OH	+ SO		= SO2	+ H		8.274929e+05
  R445	O	+ OH		= O2	+ H		3.072942e+05
  R527	OH	+ S		= H	+ SO		2.392243e+05
  R44	CH2	+ CH3		= C2H4	+ H		1.864264e+05
  R203	H2	+ CH3		= CH4	+ H		9.580853e+04
  R206	H2	+ CHO		= CH2O	+ H		9.440743e+04
  T43	HSO2			= SO2	+ H		2.650710e+04
  R390	O	+ C2H2		= H	+ C2HO		6.792587e+03
  R449	O(1D)	+ CH4		= CH3O	+ H		6.127161e+03
  R411	O	+ CH2		= CO	+ H	+ H	5.113487e+03 (x2)
  R198	H2	+ C2H5		= C2H6	+ H		5.043501e+03
  R408	O	+ CH		= CO	+ H		4.351459e+03
  P70	C2H5N			= HCN	+ CH3	+ H	8.051666e+02
  P41	HCN			= H	+ CN		7.937818e+02
  R492	OH	+ CH2		= CH2O	+ H		5.840121e+02
  R370	NO2	+ CHO		= NO	+ CO2	+ H	5.552206e+02
  R197	H2	+ C2H3		= C2H4	+ H		1.163585e+02
  R452	O(1D)	+ CH4O		= CH3O2	+ H		1.097268e+02
  R207	H2	+ CN		= HCN	+ H		2.090809e+01
  R546	SO2	+ C2H		= CO	+ OCS	+ H	4.411586e+00
  R204	H2	+ CH3O		= CH4O	+ H		1.869823e+00
  R277	N	+ C2H3		= C2H2N	+ H		1.176229e+00
  T38	C2H5O			= C2H4O	+ H		2.910582e-01
