Total_Molecules: 84
Total_Reactions: 734
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 1.38e+11

  P42	NH3			= NH2	+ H		4.822497e+10
  T46	CHO			= CO	+ H		4.806942e+10
  R212	H2	+ NH2		= NH3	+ H		2.555157e+10
  R308	NH	+ OH		= H	+ HNO		3.544089e+09
  R301	NH	+ NO		= N2O	+ H		3.124411e+09
  R455	O(1D)	+ H2		= H	+ OH		2.186943e+09
  R533	S	+ HS		= H	+ S2		1.636645e+09
  P20	CH2O			= CHO	+ H		1.163259e+09
  P6	H2O			= H	+ OH		9.750512e+08
  P68	N2H4			= N2H3	+ H		7.373253e+08
  P41	HCN			= H	+ CN		4.281068e+08
  P45	H2S			= HS	+ H		4.083461e+08
  R304	NH	+ O		= NO	+ H		3.462879e+08
  R289	N	+ NH		= N2	+ H		2.520978e+08
  R207	H2	+ CN		= HCN	+ H		1.937296e+08
  R202	H2	+ CH		= CH2	+ H		1.809675e+08
  R512	OH	+ H2		= H2O	+ H		1.600437e+08
  R597	CH21	+ H2		= CH3	+ H		1.431189e+08
  P32	CH4			= CH3	+ H		1.257811e+08
  P71	HNO			= NO	+ H		5.759603e+07
  R327	NH3	+ CH		= HCN	+ H2	+ H	2.736918e+07
  P34	CH4			= CH	+ H2	+ H	1.840700e+07
  R511	OH	+ CO		= CO2	+ H		8.274160e+06
  R195	H2	+ C2H		= C2H2	+ H		6.985893e+06
  P56	C2H2			= C2H	+ H		6.801652e+06
  R322	NH2	+ O		= H	+ HNO		3.495789e+06
  R206	H2	+ CHO		= CH2O	+ H		2.660249e+06
  R203	H2	+ CH3		= CH4	+ H		4.864867e+05
  P40	CH4O			= CH3O	+ H		2.766945e+05
  T43	HSO2			= SO2	+ H		2.489010e+05
  P59	C2H4			= C2H2	+ H	+ H	7.067490e+04 (x2)
  P63	C2H6			= C2H4	+ H	+ H	5.662453e+04 (x2)
  R44	CH2	+ CH3		= C2H4	+ H		1.857378e+04
  R527	OH	+ S		= H	+ SO		1.837127e+04
  R33	CH	+ CH4		= C2H4	+ H		1.447436e+04
  P60	C2H4			= C2H3	+ H		1.413498e+04
  R415	O	+ CH3		= CH2O	+ H		1.556687e+03
  P70	C2H5N			= HCN	+ CH3	+ H	9.313796e+02
  R449	O(1D)	+ CH4		= CH3O	+ H		8.584184e+02
  R528	OH	+ SO		= SO2	+ H		7.365282e+02
  R416	O	+ CH3		= CO	+ H2	+ H	6.360179e+02
  R204	H2	+ CH3O		= CH4O	+ H		4.579483e+02
  R433	O	+ H2		= H	+ OH		3.274456e+02
  P57	C2H3			= C2H2	+ H		1.403855e+02
  R198	H2	+ C2H5		= C2H6	+ H		1.101230e+02
  R506	OH	+ CN		= H	+ CNO		9.138554e+01
  R492	OH	+ CH2		= CH2O	+ H		4.621598e+01
  R295	N	+ OH		= NO	+ H		1.178270e+01
  T47	CH3O			= CH2O	+ H		1.005369e+01
  R411	O	+ CH2		= CO	+ H	+ H	7.852460e+00 (x2)
  R197	H2	+ C2H3		= C2H4	+ H		4.369674e+00
