Total_Molecules: 84
Total_Reactions: 735
Sorting by     : TP Descending
************************************************************

O				PRODUCTION RXS		INT RX RATE	TP = 5.70e+11

  R454	O(1D)	+ CO2		= CO2	+ O		4.007666e+11
  P3	O3			= O2	+ O		5.206718e+10
  P2	O2			= O	+ O(1D)		3.560240e+10
  P36	CO2			= CO	+ O		2.196293e+10
  P1	O2			= O	+ O		1.766081e+10 (x2)
  R458	O(1D)	+ N2		= O	+ N2		1.373086e+10
  P8	NO2			= NO	+ O		3.289112e+09
  R464	O(1D)	+ O2		= O	+ O2		2.791635e+09
  R6	C	+ O2		= CO	+ O		1.967974e+09
  P35	CO			= C	+ O		1.947981e+09
  R181	H	+ HO2		= O	+ H2O		7.143627e+08
  P46	SO2			= SO	+ O		6.552108e+07
  P10	NO3			= NO2	+ O		5.577601e+07
  P5	HO2			= O	+ OH		1.386819e+07
  R544	SO	+ O2		= SO2	+ O		6.751016e+06
  R536	S	+ O2		= SO	+ O		5.173815e+05
  P51	SO			= S	+ O		5.124319e+05
  R526	OH	+ OH		= H2O	+ O		4.014068e+05
  T1	O3			= O2	+ O		2.825667e+05
  R466	O(1D)	+ O3		= O2	+ O	+ O	8.674704e+03 (x2)
  P13	N2O5			= NO3	+ NO	+ O	2.309883e+03
  P44	NO			= N	+ O		1.607252e+03
  P49	HSO			= HS	+ O		8.766876e+02
  R291	N	+ NO		= O	+ N2		7.110785e+02
  P30	SO3			= SO2	+ O		3.642354e+02
  P16	HNO3			= HNO2	+ O		8.113904e+01
  R40	NH	+ OH		= NH2	+ O		4.598180e+01
  R292	N	+ NO2		= N2O	+ O		1.289288e+01
  R293	N	+ O2		= NO	+ O		5.390388e+00
  T44	HSO2			= O	+ HSO		4.411738e+00
  R341	NO	+ CH		= O	+ HCN		1.950957e+00
  R332	NO	+ C		= CN	+ O		7.414167e-01
  R562	SO21	+ O2		= O	+ SO3		9.116966e-02
  R478	OH	+ C2H		= C2H2	+ O		1.150193e-04
  R644	NH2	+ OH		= NH3	+ O		6.866667e-05
  R352	NO	+ CNO		= CO	+ N2	+ O	4.691420e-05
  R507	OH	+ CN		= O	+ HCN		1.993892e-08
  R164	H	+ CNO		= HCN	+ O		5.126539e-10
  R307	NH	+ O2		= O	+ HNO		1.470043e-10
  R509	OH	+ CNO		= HCNO	+ O		4.549303e-11
  R540	CS	+ O2		= OCS	+ O		4.239998e-14
  R174	H	+ HNO		= NH2	+ O		2.336025e-15
  T4	N2O			= N2	+ O		6.302308e-23
  T5	NO2			= NO	+ O		8.780287e-30
  T41	SO3			= SO2	+ O		3.836862e-46
  R187	H	+ NO		= NH	+ O		1.763524e-46

O				LOSS RXS		INT RX RATE	TL = 5.70e+11

  R445	O	+ OH		= O2	+ H		1.328200e+11
  M35	O	+ O2		= O3			1.039674e+11
  M34	O	+ O		= O2			1.037582e+11 (x2)
  R441	O	+ HO2		= OH	+ O2		8.007286e+10
  M16	H	+ O		= OH			1.816324e+10
  R413	O	+ CH2O		= CHO	+ OH		6.925697e+09
  R415	O	+ CH3		= CH2O	+ H		6.899770e+09
  R426	O	+ CHO		= CO	+ OH		3.184764e+09
  R427	O	+ CHO		= CO2	+ H		3.184764e+09
  R416	O	+ CH3		= CO	+ H2	+ H	2.819049e+09
  R423	O	+ CH4		= CH3	+ OH		1.276790e+09
  R433	O	+ H2		= H	+ OH		1.060736e+09
  R408	O	+ CH		= CO	+ H		6.797524e+08
  R411	O	+ CH2		= CO	+ H	+ H	3.459690e+08
  R402	O	+ C2H5		= C2H5O			2.247528e+08
  R412	O	+ CH2		= CO	+ H2		2.104644e+08
  R406	O	+ C2H6		= C2H5	+ OH		1.990654e+08
  R403	O	+ C2H5		= C2H4O	+ H		1.979958e+08
  R442	O	+ NO2		= NO	+ O2		1.372912e+08
  M33	O	+ NO2		= NO3			7.979164e+07
  R401	O	+ C2H4O		= C2H3O	+ OH		7.468269e+07
  R405	O	+ C2H5		= CH2O	+ CH3		3.974803e+07
  R398	O	+ C2H4		= CH3	+ CHO		3.133446e+07
  R439	O	+ HNO		= OH	+ NO		2.498136e+07
  R404	O	+ C2H5		= C2H4	+ OH		2.247528e+07
  R400	O	+ C2H4		= CH2O	+ CH2		2.155589e+07
  R409	O	+ CH2		= CH	+ OH		2.075814e+07
  R419	O	+ CH3O		= CH2O	+ OH		1.987176e+07
  M31	O	+ CO		= CO2			1.926307e+07
  R396	O	+ C2H4		= C2H3O	+ H		1.315622e+07
  M32	O	+ NO		= NO2			1.043024e+07
  R444	O	+ O3		= O2	+ O2		8.354359e+06
  M46	SO	+ O		= SO2			8.144671e+06
  R420	O	+ CH3O		= CH3	+ O2		7.097058e+06
  M49	SO2	+ O		= SO3			5.084028e+06
  R231	H2S	+ O		= OH	+ HS		3.292520e+06
  R391	O	+ C2H2		= CO	+ CH2		3.199559e+06
  R414	O	+ CH3		= CH3O			1.901920e+06
  R399	O	+ C2H4		= C2H2O	+ H2		1.879459e+06
  R424	O	+ CH4O		= CH3O	+ OH		1.565569e+06
  R434	O	+ H2O2		= OH	+ HO2		4.428031e+05
  R266	HS	+ O		= H	+ SO		1.206985e+05
  R578	HSO	+ O		= OH	+ SO		1.071460e+05
  R428	O	+ CHO2		= CO2	+ OH		6.319878e+04
  R443	O	+ NO3		= NO2	+ O2		2.206536e+04
  R397	O	+ C2H4		= C2H3	+ OH		1.438715e+04
  R390	O	+ C2H2		= H	+ C2HO		8.636087e+03
  R425	O	+ CH4O2		= CH3O2	+ OH		4.799224e+03
  R417	O	+ CH3NO2	= OH	+ CH2O	+ NO	2.698852e+03
  R418	O	+ CH3NO3	= OH	+ CH2O	+ NO2	2.335063e+03
  R389	O	+ C2H		= CO	+ CH		1.607800e+03
  R440	O	+ HNO4		= HNO3	+ O2		4.797951e+02
  R407	O	+ CH		= OH	+ C		3.219604e+02
  R393	O	+ C2H3		= C2H3O			3.172366e+02
  R394	O	+ C2H3		= C2H2	+ OH		3.172366e+02
  R395	O	+ C2H3		= C2H2O	+ H		3.056584e+02
  R322	NH2	+ O		= H	+ HNO		2.358249e+02
  R323	NH2	+ O		= OH	+ NH		3.662073e+01
  R274	HSO3	+ O		= OH	+ SO3		3.284224e+01
  R324	NH2	+ O		= H2	+ NO		2.620276e+01
  M26	N	+ O		= NO			2.412640e+01
  R422	O	+ CH3O2		= CH3O	+ O2		1.872080e+01
  R430	O	+ CN		= CO	+ N		6.628091e+00
  R431	O	+ CNO		= CO	+ NO		5.577251e-01
  R435	O	+ HCN		= H	+ CNO		5.674427e-02
  R436	O	+ HCN		= CO	+ NH		2.431897e-02
  R438	O	+ HCNO		= CO2	+ NH		1.027762e-03
  R304	NH	+ O		= NO	+ H		3.649475e-04
  R305	NH	+ O		= OH	+ N		3.649475e-05
  R392	O	+ C2H2N		= CH2O	+ CN		1.808749e-05
  R475	OCS	+ O		= CO	+ SO		1.597791e-05
  R446	O	+ S2		= S	+ SO		6.866230e-06
  R437	O	+ HCNO		= CNO	+ OH		3.784099e-06
  R553	SO2	+ O		= SO	+ O2		9.293026e-08
  R125	CS	+ O		= CO	+ S		1.721396e-08
  R432	O	+ CNO		= CN	+ O2		1.329789e-08
  R555	SO3	+ O		= SO2	+ O2		5.264966e-28
  R429	O	+ CN		= C	+ NO		3.271037e-33
  R106	CH4S	+ O		= CH3	+ HSO		0.000000e+00

************************************************************

CO2				PRODUCTION RXS		INT RX RATE	TP = 4.78e+11

  R454	O(1D)	+ CO2		= CO2	+ O		4.007666e+11
  R511	OH	+ CO		= CO2	+ H		7.337056e+10
  R427	O	+ CHO		= CO2	+ H		3.184764e+09
  R645	O2	+ CHO2		= HO2	+ CO2		8.165856e+08
  R247	HO2	+ C2H3O		= OH	+ CH3	+ CO2	5.458241e+07
  R358	NO2	+ C2H3O		= CO2	+ CH3	+ NO	3.552446e+07
  M31	O	+ CO		= CO2			1.926307e+07
  R370	NO2	+ CHO		= NO	+ CO2	+ H	2.285877e+05
  R428	O	+ CHO2		= CO2	+ OH		6.319878e+04
  R505	OH	+ CHO2		= CO2	+ H2O		1.688559e+02
  R337	NO	+ C2HO		= HCN	+ CO2		9.615564e+01
  R457	O(1D)	+ HCNO		= CO2	+ NH		9.009551e-01
  R438	O	+ HCNO		= CO2	+ NH		1.027762e-03
  R374	NO2	+ CNO		= CO2	+ N2O		3.583845e-04
  R360	NO2	+ C2HO		= CO2	+ HCNO		2.444405e-04
  R351	NO	+ CNO		= CO2	+ N2		1.123684e-04
  T49	CHO2			= CO2	+ H		1.506739e-06
  R473	OCS	+ OH		= CO2	+ HS		7.315277e-10
  R373	NO2	+ CN		= CO2	+ N2		3.636608e-13
  T15	CH2O2			= CO2	+ H2		1.879996e-21

CO2				LOSS RXS		INT RX RATE	TL = 7.85e+11

  R454	O(1D)	+ CO2		= CO2	+ O		4.007666e+11
  P37	CO2			= CO	+ O(1D)		3.620315e+11
  P36	CO2			= CO	+ O		2.196293e+10
  R123	CO2	+ CH2		= CH2O	+ CO		2.387295e+07
  R572	S	+ CO2		= SO	+ CO		2.343732e+03
  R165	H	+ CO2		= CO	+ OH		5.833374e-02
  R124	CO2	+ CN		= CNO	+ CO		8.074417e-26

************************************************************

O2				PRODUCTION RXS		INT RX RATE	TP = 4.30e+11

  R445	O	+ OH		= O2	+ H		1.328200e+11
  M34	O	+ O		= O2			1.037582e+11
  R441	O	+ HO2		= OH	+ O2		8.007286e+10
  P3	O3			= O2	+ O		5.206718e+10
  R192	H	+ O3		= OH	+ O2		3.153378e+10
  P4	O3			= O2	+ O(1D)		2.020760e+10
  R182	H	+ HO2		= H2	+ O2		3.080689e+09
  R464	O(1D)	+ O2		= O	+ O2		2.791635e+09
  R257	HO2	+ HO2		= H2O2	+ O2		1.621589e+09
  M19	HO2	+ HO2		= H2O2	+ O2		1.586640e+09
  T12	HNO4			= O2	+ HNO2		2.983786e+08
  R442	O	+ NO2		= NO	+ O2		1.372912e+08
  R251	HO2	+ C2H5		= C2H6	+ O2		9.922569e+07
  R469	O3	+ C2H5		= C2H5O	+ O2		6.902671e+07
  R522	OH	+ HO2		= H2O	+ O2		4.146192e+07
  R261	HO2	+ O3		= OH	+ O2	+ O2	2.461444e+07 (x2)
  R354	NO	+ O3		= NO2	+ O2		1.978867e+07
  R545	SO	+ O3		= SO2	+ O2		1.852554e+07
  R444	O	+ O3		= O2	+ O2		8.354359e+06 (x2)
  P9	NO3			= NO	+ O2		7.647390e+06
  R420	O	+ CH3O		= CH3	+ O2		7.097058e+06
  R470	O3	+ CH3		= CH3O	+ O2		4.716560e+06
  R269	HS	+ O3		= O2	+ HSO		2.922009e+06
  T6	NO3			= NO	+ O2		1.878232e+06
  R521	OH	+ HNO4		= H2O	+ NO2	+ O2	9.960516e+05
  R260	HO2	+ NO3		= OH	+ NO2	+ O2	8.589610e+05
  T1	O3			= O2	+ O		2.825667e+05
  R271	HSO	+ O3		= HS	+ O2	+ O2	1.283463e+05 (x2)
  R377	NO2	+ O3		= NO3	+ O2		7.118506e+04
