Total_Molecules: 84
Total_Reactions: 735
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 1.08e+11

  P42	NH3			= NH2	+ H		3.572266e+10
  R512	OH	+ H2		= H2O	+ H		2.269337e+10
  P6	H2O			= H	+ OH		1.474807e+10
  R212	H2	+ NH2		= NH3	+ H		9.432235e+09
  R455	O(1D)	+ H2		= H	+ OH		8.798158e+09
  P68	N2H4			= N2H3	+ H		8.721794e+09
  R533	S	+ HS		= H	+ S2		2.023270e+09
  R445	O	+ OH		= O2	+ H		1.873695e+09
  R511	OH	+ CO		= CO2	+ H		1.547552e+09
  T46	CHO			= CO	+ H		7.512479e+08
  R322	NH2	+ O		= H	+ HNO		7.200032e+08
  R433	O	+ H2		= H	+ OH		7.183705e+08
  P20	CH2O			= CHO	+ H		1.841557e+08
  T43	HSO2			= SO2	+ H		1.780365e+08
  P71	HNO			= NO	+ H		4.525801e+07
  P45	H2S			= HS	+ H		2.242982e+07
  R427	O	+ CHO		= CO2	+ H		2.147970e+07
  R597	CH21	+ H2		= CH3	+ H		1.935090e+07
  P32	CH4			= CH3	+ H		1.700875e+07
  R415	O	+ CH3		= CH2O	+ H		1.242905e+07
  R416	O	+ CH3		= CO	+ H2	+ H	5.078154e+06
  R266	HS	+ O		= H	+ SO		4.377424e+06
  P40	CH4O			= CH3O	+ H		3.522480e+06
  P34	CH4			= CH	+ H2	+ H	2.489086e+06
  R203	H2	+ CH3		= CH4	+ H		1.392475e+06
  R202	H2	+ CH		= CH2	+ H		1.031495e+06
  R528	OH	+ SO		= SO2	+ H		2.378418e+05
  R527	OH	+ S		= H	+ SO		1.192045e+05
  P41	HCN			= H	+ CN		9.524068e+04
  R207	H2	+ CN		= HCN	+ H		9.418510e+04
  R198	H2	+ C2H5		= C2H6	+ H		3.039030e+04
  R206	H2	+ CHO		= CH2O	+ H		2.662447e+04
  R295	N	+ OH		= NO	+ H		2.435982e+04
  R204	H2	+ CH3O		= CH4O	+ H		1.699697e+04
  P63	C2H6			= C2H4	+ H	+ H	3.838306e+03 (x2)
  P56	C2H2			= C2H	+ H		1.742403e+03
  R195	H2	+ C2H		= C2H2	+ H		1.494813e+03
  R396	O	+ C2H4		= C2H3O	+ H		4.139723e+02
  R411	O	+ CH2		= CO	+ H	+ H	2.659862e+02 (x2)
  P59	C2H4			= C2H2	+ H	+ H	1.922954e+02 (x2)
  R408	O	+ CH		= CO	+ H		1.860057e+02
  R449	O(1D)	+ CH4		= CH3O	+ H		1.366629e+02
  R33	CH	+ CH4		= C2H4	+ H		8.060008e+01
  T47	CH3O			= CH2O	+ H		6.852268e+01
  R506	OH	+ CN		= H	+ CNO		5.387552e+01
  R403	O	+ C2H5		= C2H4O	+ H		4.146261e+01
  P60	C2H4			= C2H3	+ H		3.845907e+01
  R395	O	+ C2H3		= C2H2O	+ H		8.017534e+00
  R452	O(1D)	+ CH4O		= CH3O2	+ H		4.051217e+00
  R370	NO2	+ CHO		= NO	+ CO2	+ H	3.670387e+00
  R390	O	+ C2H2		= H	+ C2HO		6.823906e-01
  P57	C2H3			= C2H2	+ H		3.464696e-01
  R492	OH	+ CH2		= CH2O	+ H		1.643126e-01
  R339	NO	+ CH		= H	+ CNO		1.327355e-01
  P70	C2H5N			= HCN	+ CH3	+ H	1.053103e-01
  R435	O	+ HCN		= H	+ CNO		8.413348e-02
  T38	C2H5O			= C2H4O	+ H		5.933248e-02
  R327	NH3	+ CH		= HCN	+ H2	+ H	5.829171e-02
  R304	NH	+ O		= NO	+ H		4.390910e-02
  R281	N	+ CH		= CN	+ H		1.467743e-02
  R44	CH2	+ CH3		= C2H4	+ H		7.577075e-03
  R301	NH	+ NO		= N2O	+ H		7.565569e-03
  R277	N	+ C2H3		= C2H2N	+ H		1.447007e-04
  R546	SO2	+ C2H		= CO	+ OCS	+ H	7.589566e-06
  T49	CHO2			= CO2	+ H		6.591116e-06
  R197	H2	+ C2H3		= C2H4	+ H		4.521770e-06
  T27	C2H5			= C2H4	+ H		2.872876e-07
  R308	NH	+ OH		= H	+ HNO		2.427588e-07
  T18	CH3O2			= CH2O2	+ H		4.396174e-09
  R289	N	+ NH		= N2	+ H		4.205459e-09
  P28	CH2O2			= CHO2	+ H		4.211928e-10
  R209	H2	+ HO2		= H2O2	+ H		2.051234e-13
  R495	OH	+ CH3		= CH3O	+ H		1.115386e-14
  R479	OH	+ C2H2		= C2H2O	+ H		1.108683e-17
  R213	H2	+ NO2		= H	+ HNO2		5.680611e-18
  R3	C	+ H2		= CH	+ H		1.033961e-19
  R193	H2	+ C		= CH	+ H		1.033961e-19
  T8	HNO			= H	+ NO		4.626694e-21
  T42	HSO			= SO	+ H		1.346749e-22
  T59	H2S			= HS	+ H		1.295410e-25
  T25	C2H3			= C2H2	+ H		2.121648e-26
  R205	H2	+ CH3O2		= CH4O2	+ H		1.075958e-26
  T19	CH4O			= CH3O	+ H		1.663747e-27
  T2	HO2			= O2	+ H		1.484316e-28
  R10	H2	+ C2H4		= C2H5	+ H		1.717499e-40
  T28	C2H6			= C2H5	+ H		3.996975e-47
  R41	H2	+ C2H2		= C2H3	+ H		2.745791e-49
  T57	HCN			= H	+ CN		3.456291e-68
  P38	H2			= H	+ H		0.000000e+00 (x2)

H				LOSS RXS		INT RX RATE	TL = 1.05e+11

  M13	H	+ H		= H2			2.030821e+10 (x2)
  M12	H	+ CO		= CHO			1.958818e+10
  R639	N2H4	+ H		= N2H3	+ H2		1.534788e+10
  R162	H	+ CHO		= CO	+ H2		1.531850e+10
  R641	N2H3	+ H		= NH2	+ NH2		5.674042e+09
  M14	H	+ NH2		= NH3			2.464423e+09
  R230	H2S	+ H		= H2	+ HS		1.166319e+09
  R560	HS	+ H		= H2	+ S		9.545700e+08
  M10	H	+ CHO		= CH2O			9.377400e+08
  R575	HSO	+ H		= HS	+ OH		6.161456e+08
  R172	H	+ HNO		= H2	+ NO		4.665971e+08
  M17	H	+ O2		= HO2			3.686385e+08
  M51	H	+ SO		= HSO			3.445153e+08
  R180	H	+ HO2		= OH	+ OH		3.292815e+08
  M16	H	+ O		= OH			3.153127e+08
  M48	SO2	+ H		= HSO2			1.780888e+08
  R148	H	+ CH2O		= H2	+ CHO		1.123720e+08
  R576	HSO	+ H		= H2	+ SO		5.476850e+07
  R182	H	+ HO2		= H2	+ O2		3.155614e+07
  M57	H	+ CH3		= CH4			3.021621e+07
  M15	H	+ NO		= HNO			2.995127e+07
  R147	H	+ CH2O		= CH3O			2.573446e+07
  M18	H	+ OH		= H2O			1.837219e+07
  R152	H	+ CH3O		= CH4O			1.710311e+07
  R153	H	+ CH3O		= CH3	+ OH		9.635821e+06
  R181	H	+ HO2		= O	+ H2O		7.317367e+06
  R189	H	+ NO2		= OH	+ NO		5.061008e+06
  R146	H	+ CH2		= CH	+ H2		3.822811e+06
  R157	H	+ CH4		= CH3	+ H2		1.137015e+06
  R186	H	+ NH3		= H2	+ NH2		8.845651e+05
  R154	H	+ CH3O		= CH2O	+ H2		6.022388e+05
  R145	H	+ CH		= C	+ H2		3.004142e+05
  R159	H	+ CH4O		= CH3O	+ H2		2.329914e+05
  R143	H	+ C2H6		= C2H5	+ H2		3.531471e+04
  R192	H	+ O3		= OH	+ O2		1.200406e+04
  R140	H	+ C2H5		= CH3	+ CH3		8.535621e+03
  M23	N	+ H		= NH			8.177564e+03
  M9	H	+ C2H4		= C2H5			7.009982e+03
  M7	H	+ C2H2		= C2H3			3.519360e+03
  R131	H	+ C2H3		= C2H4			3.174825e+03
  M58	H	+ C2H5		= C2H6			1.317537e+03
  R166	H	+ H2O		= H2	+ OH		8.740863e+02
  R138	H	+ C2H4O		= CH4	+ CHO		7.645693e+02
  R133	H	+ C2H3O		= CHO	+ CH3		5.527049e+02
  R137	H	+ C2H4O		= C2H3O	+ H2		4.700686e+02
  R141	H	+ C2H5		= C2H4	+ H2		4.267811e+02
  R132	H	+ C2H3		= C2H2	+ H2		3.559735e+02
  R567	HSO3	+ H		= H2	+ SO3		3.353044e+02
  R134	H	+ C2H3O		= C2H2O	+ H2		3.014754e+02
  R130	H	+ C2H2O		= CO	+ CH3		2.948188e+02
  R127	H	+ C2H		= C2H2			2.477158e+02
  M56	H	+ CH2		= CH3			1.755506e+02
  R190	H	+ NO3		= OH	+ NO2		1.330266e+02
  R142	H	+ C2H5O		= C2H4O	+ H2		8.855952e+01
  R554	SO3	+ H		= OH	+ SO2		8.106059e+01
  R167	H	+ H2O2		= OH	+ H2O		5.988184e+01
  R163	H	+ CNO		= CO	+ NH		5.416729e+01
  M11	H	+ CN		= HCN			1.918416e+01
  R150	H	+ CH3NO2	= CH4O	+ NO		6.715600e+00
  R168	H	+ H2O2		= H2	+ HO2		5.673147e+00
  R136	H	+ C2H4O		= C2H5O			6.352820e-01
  R175	H	+ HNO2		= OH	+ HNO		3.250489e-01
  R177	H	+ HNO2		= H2O	+ NO		2.876806e-01
  R155	H	+ CH3O2		= CH3O	+ OH		2.235117e-02
  R171	H	+ HCNO		= CO	+ NH2		5.230170e-03
  R165	H	+ CO2		= CO	+ OH		1.006453e-03
  R176	H	+ HNO2		= H2	+ NO2		4.871720e-04
  R164	H	+ CNO		= HCN	+ O		7.662252e-08
  R149	H	+ CH3		= CH2	+ H2		3.665647e-09
  R135	H	+ C2H4		= C2H3	+ H2		2.215484e-10
  R178	H	+ HNO3		= H2O	+ NO2		1.448073e-10
  R161	H	+ CH4O2		= H2	+ CH3O2		7.060683e-11
  R160	H	+ CH4O2		= CH3O	+ H2O		5.851662e-11
  R173	H	+ HNO		= OH	+ NH		1.824933e-11
  R169	H	+ HCNO		= H2	+ CNO		2.242570e-14
  R183	H	+ N2O		= NO	+ NH		5.022117e-16
  R179	H	+ HNO3		= H2	+ NO3		1.865118e-20
  R174	H	+ HNO		= NH2	+ O		8.179181e-21
  R129	H	+ C2H2		= C2H	+ H2		2.691941e-21
  R156	H	+ CH3O2		= CH4	+ O2		1.841847e-26
  R128	H	+ C2H		= H2	+ C2		1.489578e-37
  R188	H	+ NO		= OH	+ N		1.315801e-37
  R187	H	+ NO		= NH	+ O		3.340803e-53
  R103	CH4S	+ H		= CH3	+ H2S		0.000000e+00
  R104	CH4S	+ H		= H2	+ CH3S		0.000000e+00

************************************************************

H2				PRODUCTION RXS		INT RX RATE	TP = 6.15e+10

  M13	H	+ H		= H2			2.030821e+10
  R639	N2H4	+ H		= N2H3	+ H2		1.534788e+10
  R162	H	+ CHO		= CO	+ H2		1.531850e+10
  P67	N2H2			= N2	+ H2		7.270888e+09
  R230	H2S	+ H		= H2	+ HS		1.166319e+09
  R560	HS	+ H		= H2	+ S		9.545700e+08
  R172	H	+ HNO		= H2	+ NO		4.665971e+08
  P21	CH2O			= CO	+ H2		3.127308e+08
  R148	H	+ CH2O		= H2	+ CHO		1.123720e+08
  R324	NH2	+ O		= H2	+ NO		8.000035e+07
  R576	HSO	+ H		= H2	+ SO		5.476850e+07
  R182	H	+ HO2		= H2	+ O2		3.155614e+07
  P33	CH4			= CH21	+ H2		2.198693e+07
  R416	O	+ CH3		= CO	+ H2	+ H	5.078154e+06
  R146	H	+ CH2		= CH	+ H2		3.822811e+06
  R596	CH21	+ H2		= CH2	+ H2		2.638758e+06
  P34	CH4			= CH	+ H2	+ H	2.489086e+06
  P69	CH5N			= HCN	+ H2	+ H2	2.035703e+06 (x2)
  R157	H	+ CH4		= CH3	+ H2		1.137015e+06
  R186	H	+ NH3		= H2	+ NH2		8.845651e+05
  R154	H	+ CH3O		= CH2O	+ H2		6.022388e+05
  R145	H	+ CH		= C	+ H2		3.004142e+05
  R159	H	+ CH4O		= CH3O	+ H2		2.329914e+05
  R143	H	+ C2H6		= C2H5	+ H2		3.531471e+04
  P64	C2H6			= C2H2	+ H2	+ H2	3.343041e+03 (x2)
  P62	C2H6			= C2H4	+ H2		1.733429e+03
  P43	NH3			= NH	+ H2		1.454463e+03
  R166	H	+ H2O		= H2	+ OH		8.740863e+02
  R137	H	+ C2H4O		= C2H3O	+ H2		4.700686e+02
  R141	H	+ C2H5		= C2H4	+ H2		4.267811e+02
  R132	H	+ C2H3		= C2H2	+ H2		3.559735e+02
  R567	HSO3	+ H		= H2	+ SO3		3.353044e+02
  R134	H	+ C2H3O		= C2H2O	+ H2		3.014754e+02
  R282	N	+ CH3		= H2	+ HCN		2.025358e+02
  R412	O	+ CH2		= CO	+ H2		1.618083e+02
  P58	C2H4			= C2H2	+ H2		1.538363e+02
  R142	H	+ C2H5O		= C2H4O	+ H2		8.855952e+01
  R399	O	+ C2H4		= C2H2O	+ H2		5.913889e+01
  R481	OH	+ C2H2		= C2HO	+ H2		5.788115e+01
  R451	O(1D)	+ CH4		= CH2O	+ H2		3.416571e+01
