Total_Molecules: 84
Total_Reactions: 735
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 5.43e+10

  T46	CHO			= CO	+ H		1.193223e+10
  P56	C2H2			= C2H	+ H		9.158337e+09
  R195	H2	+ C2H		= C2H2	+ H		4.818494e+09
  R512	OH	+ H2		= H2O	+ H		3.350451e+09
  R202	H2	+ CH		= CH2	+ H		3.122359e+09
  P6	H2O			= H	+ OH		2.863594e+09
  P42	NH3			= NH2	+ H		2.765579e+09
  P20	CH2O			= CHO	+ H		2.532259e+09
  R212	H2	+ NH2		= NH3	+ H		2.408929e+09
  R511	OH	+ CO		= CO2	+ H		2.337600e+09
  P45	H2S			= HS	+ H		2.188406e+09
  R597	CH21	+ H2		= CH3	+ H		1.445915e+09
  P32	CH4			= CH3	+ H		1.218961e+09
  R433	O	+ H2		= H	+ OH		1.110531e+09
  R455	O(1D)	+ H2		= H	+ OH		7.165067e+08
  R427	O	+ CHO		= CO2	+ H		4.811718e+08
  P68	N2H4			= N2H3	+ H		2.539622e+08
  P59	C2H4			= C2H2	+ H	+ H	2.011620e+08 (x2)
  P34	CH4			= CH	+ H2	+ H	1.783846e+08
  R266	HS	+ O		= H	+ SO		1.626799e+08
  R533	S	+ HS		= H	+ S2		1.465765e+08
  R415	O	+ CH3		= CH2O	+ H		1.296874e+08
  P40	CH4O			= CH3O	+ H		1.079501e+08
  R33	CH	+ CH4		= C2H4	+ H		1.040951e+08
  P63	C2H6			= C2H4	+ H	+ H	9.498413e+07 (x2)
  P71	HNO			= NO	+ H		7.111613e+07
  R416	O	+ CH3		= CO	+ H2	+ H	5.298655e+07
  P60	C2H4			= C2H3	+ H		4.023241e+07
  R322	NH2	+ O		= H	+ HNO		1.974336e+07
  R396	O	+ C2H4		= C2H3O	+ H		6.304422e+06
  P57	C2H3			= C2H2	+ H		2.194520e+06
  R395	O	+ C2H3		= C2H2O	+ H		1.695412e+06
  R528	OH	+ SO		= SO2	+ H		1.146739e+06
  R403	O	+ C2H5		= C2H4O	+ H		1.057080e+06
  R203	H2	+ CH3		= CH4	+ H		6.830513e+05
  R206	H2	+ CHO		= CH2O	+ H		5.970348e+05
  R44	CH2	+ CH3		= C2H4	+ H		4.959186e+05
  R527	OH	+ S		= H	+ SO		4.225684e+05
  R445	O	+ OH		= O2	+ H		2.224937e+05
  R198	H2	+ C2H5		= C2H6	+ H		6.024075e+04
  T43	HSO2			= SO2	+ H		2.111412e+04
  R449	O(1D)	+ CH4		= CH3O	+ H		1.208260e+04
  R390	O	+ C2H2		= H	+ C2HO		7.901671e+03
  R408	O	+ CH		= CO	+ H		5.623475e+03
  P41	HCN			= H	+ CN		5.338663e+03
  R411	O	+ CH2		= CO	+ H	+ H	4.997101e+03 (x2)
  R492	OH	+ CH2		= CH2O	+ H		1.739090e+03
  R370	NO2	+ CHO		= NO	+ CO2	+ H	1.150783e+03
  P70	C2H5N			= HCN	+ CH3	+ H	7.006594e+02
  R452	O(1D)	+ CH4O		= CH3O2	+ H		3.227997e+02
  R207	H2	+ CN		= HCN	+ H		1.966298e+02
  R197	H2	+ C2H3		= C2H4	+ H		1.293907e+02
  R204	H2	+ CH3O		= CH4O	+ H		1.495029e+01
  R277	N	+ C2H3		= C2H2N	+ H		9.965101e+00
  R546	SO2	+ C2H		= CO	+ OCS	+ H	6.965941e+00
  R295	N	+ OH		= NO	+ H		3.789760e-01
  T47	CH3O			= CH2O	+ H		1.932388e-01
  T49	CHO2			= CO2	+ H		1.073793e-01
  R506	OH	+ CN		= H	+ CNO		1.020582e-01
  R435	O	+ HCN		= H	+ CNO		8.621842e-02
  T38	C2H5O			= C2H4O	+ H		7.704458e-02
  R327	NH3	+ CH		= HCN	+ H2	+ H	4.440157e-02
  R304	NH	+ O		= NO	+ H		1.403310e-02
  R339	NO	+ CH		= H	+ CNO		1.092770e-02
  R301	NH	+ NO		= N2O	+ H		3.142469e-03
  R281	N	+ CH		= CN	+ H		4.306176e-04
  T27	C2H5			= C2H4	+ H		5.690262e-06
  T18	CH3O2			= CH2O2	+ H		2.024379e-07
  R308	NH	+ OH		= H	+ HNO		5.736049e-08
  P28	CH2O2			= CHO2	+ H		5.238054e-09
  R495	OH	+ CH3		= CH3O	+ H		7.468156e-10
  R289	N	+ NH		= N2	+ H		1.523360e-10
  R479	OH	+ C2H2		= C2H2O	+ H		1.236585e-10
  R3	C	+ H2		= CH	+ H		1.709336e-12
  R193	H2	+ C		= CH	+ H		1.709336e-12
  R209	H2	+ HO2		= H2O2	+ H		1.131943e-13
  R213	H2	+ NO2		= H	+ HNO2		2.177415e-14
  T8	HNO			= H	+ NO		9.130653e-15
  T42	HSO			= SO	+ H		3.750120e-19
  T25	C2H3			= C2H2	+ H		8.569807e-21
  R205	H2	+ CH3O2		= CH4O2	+ H		5.117675e-21
  T59	H2S			= HS	+ H		1.780716e-21
  T19	CH4O			= CH3O	+ H		1.781118e-26
  T2	HO2			= O2	+ H		2.115553e-28
  R10	H2	+ C2H4		= C2H5	+ H		1.271873e-34
  T28	C2H6			= C2H5	+ H		1.837480e-39
  R41	H2	+ C2H2		= C2H3	+ H		2.389411e-45
  T57	HCN			= H	+ CN		2.653767e-63
  P38	H2			= H	+ H		0.000000e+00 (x2)

H				LOSS RXS		INT RX RATE	TL = 5.11e+10

  M12	H	+ CO		= CHO			2.996727e+10
  R146	H	+ CH2		= CH	+ H2		6.374772e+09
  R127	H	+ C2H		= C2H2			4.338129e+09
  R145	H	+ CH		= C	+ H2		2.971152e+09
  M57	H	+ CH3		= CH4			2.827828e+09
  R162	H	+ CHO		= CO	+ H2		1.476240e+09
  M13	H	+ H		= H2			6.111792e+08 (x2)
  R131	H	+ C2H3		= C2H4			4.314002e+08
  M7	H	+ C2H2		= C2H3			3.217152e+08
  M9	H	+ C2H4		= C2H5			2.962519e+08
  R140	H	+ C2H5		= CH3	+ CH3		2.847099e+08
  R575	HSO	+ H		= HS	+ OH		1.158204e+08
  R152	H	+ CH3O		= CH4O			1.114430e+08
  R148	H	+ CH2O		= H2	+ CHO		7.607216e+07
  R153	H	+ CH3O		= CH3	+ OH		6.309948e+07
  R230	H2S	+ H		= H2	+ HS		5.931520e+07
  R132	H	+ C2H3		= C2H2	+ H2		4.778729e+07
  R560	HS	+ H		= H2	+ S		4.654174e+07
