Total_Molecules: 84
Total_Reactions: 735
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 3.21e+10

  P42	NH3			= NH2	+ H		4.328635e+09
  P56	C2H2			= C2H	+ H		4.183948e+09
  R212	H2	+ NH2		= NH3	+ H		3.132953e+09
  R511	OH	+ CO		= CO2	+ H		2.566560e+09
  P20	CH2O			= CHO	+ H		2.513880e+09
  T46	CHO			= CO	+ H		2.423323e+09
  R195	H2	+ C2H		= C2H2	+ H		2.420879e+09
  P45	H2S			= HS	+ H		2.015731e+09
  R512	OH	+ H2		= H2O	+ H		1.443067e+09
  R202	H2	+ CH		= CH2	+ H		1.034493e+09
  P6	H2O			= H	+ OH		9.600602e+08
  P68	N2H4			= N2H3	+ H		9.217098e+08
  R597	CH21	+ H2		= CH3	+ H		7.852829e+08
  P32	CH4			= CH3	+ H		6.635948e+08
  R455	O(1D)	+ H2		= H	+ OH		5.520387e+08
  R433	O	+ H2		= H	+ OH		5.267261e+08
  R427	O	+ CHO		= CO2	+ H		4.807441e+08
  R266	HS	+ O		= H	+ SO		2.383903e+08
  R415	O	+ CH3		= CH2O	+ H		1.079631e+08
  P59	C2H4			= C2H2	+ H	+ H	9.802777e+07 (x2)
  P34	CH4			= CH	+ H2	+ H	9.711143e+07
  P71	HNO			= NO	+ H		9.087217e+07
  R533	S	+ HS		= H	+ S2		6.965819e+07
  R33	CH	+ CH4		= C2H4	+ H		5.129616e+07
  P63	C2H6			= C2H4	+ H	+ H	4.870125e+07 (x2)
  R416	O	+ CH3		= CO	+ H2	+ H	4.411063e+07
  P40	CH4O			= CH3O	+ H		3.900568e+07
  R322	NH2	+ O		= H	+ HNO		3.407994e+07
  P60	C2H4			= C2H3	+ H		1.960555e+07
  R396	O	+ C2H4		= C2H3O	+ H		8.218186e+06
  R395	O	+ C2H3		= C2H2O	+ H		6.676246e+06
  P57	C2H3			= C2H2	+ H		6.180210e+06
  R403	O	+ C2H5		= C2H4O	+ H		1.311829e+06
  R528	OH	+ SO		= SO2	+ H		9.093427e+05
  R445	O	+ OH		= O2	+ H		2.897908e+05
  R527	OH	+ S		= H	+ SO		2.676965e+05
  R44	CH2	+ CH3		= C2H4	+ H		1.807088e+05
  R203	H2	+ CH3		= CH4	+ H		1.192387e+05
  R206	H2	+ CHO		= CH2O	+ H		8.789653e+04
  T43	HSO2			= SO2	+ H		2.388298e+04
  R390	O	+ C2H2		= H	+ C2HO		7.160248e+03
  R449	O(1D)	+ CH4		= CH3O	+ H		6.765796e+03
  R411	O	+ CH2		= CO	+ H	+ H	5.287217e+03 (x2)
  R198	H2	+ C2H5		= C2H6	+ H		4.060923e+03
  R408	O	+ CH		= CO	+ H		3.571054e+03
  P70	C2H5N			= HCN	+ CH3	+ H	3.290282e+03
  P41	HCN			= H	+ CN		2.921377e+03
  R370	NO2	+ CHO		= NO	+ CO2	+ H	8.912205e+02
  R492	OH	+ CH2		= CH2O	+ H		5.958091e+02
  R452	O(1D)	+ CH4O		= CH3O2	+ H		1.165017e+02
  R197	H2	+ C2H3		= C2H4	+ H		1.012885e+02
  R207	H2	+ CN		= HCN	+ H		7.957591e+01
  R546	SO2	+ C2H		= CO	+ OCS	+ H	5.474635e+00
  R277	N	+ C2H3		= C2H2N	+ H		3.916107e+00
  R204	H2	+ CH3O		= CH4O	+ H		2.323271e+00
  T38	C2H5O			= C2H4O	+ H		1.246513e-01
  R506	OH	+ CN		= H	+ CNO		1.230640e-01
  T49	CHO2			= CO2	+ H		5.844063e-02
  R295	N	+ OH		= NO	+ H		3.942118e-02
  R435	O	+ HCN		= H	+ CNO		2.188791e-02
