Total_Molecules: 84
Total_Reactions: 735
Sorting by     : TP Descending
************************************************************

CO				PRODUCTION RXS		INT RX RATE	TP = 5.97e+11

  P37	CO2			= CO	+ O(1D)		3.154895e+11
  R162	H	+ CHO		= CO	+ H2		7.740337e+10
  R416	O	+ CH3		= CO	+ H2	+ H	4.257004e+10
  R348	NO	+ CHO		= CO	+ HNO		4.156580e+10
  R6	C	+ O2		= CO	+ O		3.495842e+10
  R118	CHO	+ O2		= CO	+ HO2		3.002171e+10
  R426	O	+ CHO		= CO	+ OH		2.633212e+10
  P36	CO2			= CO	+ O		1.952680e+10
  R408	O	+ CH		= CO	+ H		5.770159e+09
  R369	NO2	+ CHO		= NO	+ CO	+ OH	9.556766e+08
  R130	H	+ C2H2O		= CO	+ CH3		9.122693e+08
  R411	O	+ CH2		= CO	+ H	+ H	8.356161e+08
  R412	O	+ CH2		= CO	+ H2		5.083331e+08
  T32	C2H3O			= CO	+ CH3		1.813970e+08
  T46	CHO			= CO	+ H		5.649939e+07
  P21	CH2O			= CO	+ H2		5.535999e+07
  R123	CO2	+ CH2		= CH2O	+ CO		4.599665e+07
  R483	OH	+ C2H2O		= CO	+ CH3O		3.271579e+07
  R543	SO	+ CHO		= HSO	+ CO		1.446234e+07
  R267	HS	+ CHO		= H2S	+ CO		1.271057e+07
  R572	S	+ CO2		= SO	+ CO		1.058065e+07
  R200	H2	+ C2HO		= CH3	+ CO		7.291865e+06
  R561	CHO	+ CHO		= CH2O	+ CO		7.100453e+06
  R35	CH2	+ C2H2O		= C2H4	+ CO		2.952230e+06
  R391	O	+ C2H2		= CO	+ CH2		9.693573e+05
  R504	OH	+ CHO		= CO	+ H2O		2.018664e+05
  R71	CH3	+ CHO		= CH4	+ CO		1.092355e+05
  R110	CHO	+ C2H3O		= C2H4O	+ CO		3.177433e+04
  R111	CHO	+ C2H4O		= CH4	+ CO	+ CHO	2.481367e+04
  R336	NO	+ C2HO		= CO	+ HCNO		9.876608e+03
  R171	H	+ HCNO		= CO	+ NH2		9.857190e+03
  R60	CH3	+ C2H3O		= C2H6	+ CO		5.567139e+03
  R8	C	+ SO2		= CO	+ SO		2.486158e+03
  R113	CHO	+ CH3O		= CH4O	+ CO		2.245993e+03
  R569	S	+ CHO		= HS	+ CO		1.788924e+03
  R389	O	+ C2H		= CO	+ CH		8.212371e+02
  R430	O	+ CN		= CO	+ N		1.878389e+02
  R50	CH2	+ CHO		= CO	+ CH3		1.501937e+02
  P23	C2H4O			= CO	+ CH4		6.767603e+01
  R340	NO	+ CH		= CO	+ NH		1.317644e+01
  R331	NO	+ C		= CO	+ N		9.057656e+00
  R296	N2O	+ C		= CO	+ N2		1.435092e+00
  R431	O	+ CNO		= CO	+ NO		1.199445e+00
  R163	H	+ CNO		= CO	+ NH		1.164261e+00
  T48	CHO2			= CO	+ OH		6.549953e-01
  R436	O	+ HCN		= CO	+ NH		1.092120e-01
  R112	CHO	+ C2H5		= C2H6	+ CO		9.632617e-02
  R482	OH	+ C2H2		= CO	+ CH3		4.745754e-02
  R109	CHO	+ C2H3		= C2H4	+ CO		3.973984e-02
  R477	OH	+ C2H		= CO	+ CH2		3.607196e-03
  R108	CHO	+ C2H		= C2H2	+ CO		3.474547e-03
  P29	CH2O2			= H2O	+ CO		3.058377e-03
  R116	CHO	+ CN		= HCN	+ CO		1.319084e-03
  R361	NO2	+ C2HO		= CO	+ CHO	+ NO	1.257224e-03
  R246	HO2	+ C2H3		= OH	+ CH3	+ CO	1.083925e-03
  R546	SO2	+ C2H		= CO	+ OCS	+ H	4.472953e-05
  R350	NO	+ CNO		= CO	+ N2O		3.235947e-05
  R355	NO2	+ C		= CO	+ NO		2.295252e-05
  R125	CS	+ O		= CO	+ S		2.284309e-05
  R475	OCS	+ O		= CO	+ SO		2.020167e-05
  R352	NO	+ CNO		= CO	+ N2	+ O	1.916985e-05
  R7	C	+ OCS		= CO	+ CS		1.038563e-05
  R375	NO2	+ CNO		= CO	+ NO	+ NO	1.436826e-06
  R117	CHO	+ CNO		= HCNO	+ CO		1.098913e-06
  R333	NO	+ C2H		= HCN	+ CO		1.044464e-06
  R467	O(1D)	+ OCS		= CO	+ SO		8.951285e-07
  P31	OCS			= CO	+ S		7.719459e-07
  R165	H	+ CO2		= CO	+ OH		2.660007e-07
  R568	NO2	+ CHO		= CO	+ HNO2		3.508053e-08
  R538	S	+ OCS		= CO	+ S2		8.752954e-13
  R421	O3	+ C2H2		= CO	+ CH2O2		8.749879e-13
  R515	OH	+ HCN		= CO	+ NH2		7.447049e-14
  R372	NO2	+ CN		= CO	+ N2O		6.368521e-14
  R330	NH3	+ CNO		= CO	+ N2H3		1.928305e-15
  T16	CH2O2			= CO	+ H2O		6.104355e-20
  T14	CH2O			= CO	+ H2		2.234574e-28
  T30	C2H2O			= CO	+ CH2		8.239173e-29
  R124	CO2	+ CN		= CNO	+ CO		4.994930e-31
  T40	CNO			= CO	+ N		4.360946e-34
  T60	OCS			= CO	+ S		2.635730e-39
  T35	C2H4O			= CH4	+ CO		3.193519e-42
  T29	C2HO			= CO	+ CH		7.765101e-49

CO				LOSS RXS		INT RX RATE	TL = 2.73e+11

  R511	OH	+ CO		= CO2	+ H		1.303891e+11
  M12	H	+ CO		= CHO			9.817530e+10
  P35	CO			= C	+ O		2.951849e+10
  M31	O	+ CO		= CO2			1.079482e+10
  M39	OH	+ CO		= CHO2			4.282332e+09
  M6	CO	+ CH3		= C2H3O			1.869340e+08
  M5	CO	+ CH		= C2HO			1.337884e+07
  R122	CO	+ CH3		= C2H2	+ OH		3.034809e-33
  R121	CO	+ C2H4		= C2H3	+ CHO		4.077091e-55
  R120	CO	+ C2H2		= C2H	+ CHO		3.221385e-78
  R88	CH3S	+ CO		= OCS	+ CH3		0.000000e+00

************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 5.26e+11

  R511	OH	+ CO		= CO2	+ H		1.303891e+11
  R415	O	+ CH3		= CH2O	+ H		1.041924e+11
  R445	O	+ OH		= O2	+ H		7.843748e+10
  P32	CH4			= CH3	+ H		5.069815e+10
  R416	O	+ CH3		= CO	+ H2	+ H	4.257004e+10
  P71	HNO			= NO	+ H		4.153039e+10
  R597	CH21	+ H2		= CH3	+ H		2.652952e+10
  R427	O	+ CHO		= CO2	+ H		2.633212e+10
  P34	CH4			= CH	+ H2	+ H	7.419242e+09
  R408	O	+ CH		= CO	+ H		5.770159e+09
  R33	CH	+ CH4		= C2H4	+ H		3.849519e+09
  R455	O(1D)	+ H2		= H	+ OH		2.220083e+09
  P40	CH4O			= CH3O	+ H		1.617120e+09
  R449	O(1D)	+ CH4		= CH3O	+ H		9.647400e+08
  R411	O	+ CH2		= CO	+ H	+ H	8.356161e+08 (x2)
  R396	O	+ C2H4		= C2H3O	+ H		8.082550e+08
  P6	H2O			= H	+ OH		4.406971e+08
  P45	H2S			= HS	+ H		1.703429e+08
  T46	CHO			= CO	+ H		5.649939e+07
  R452	O(1D)	+ CH4O		= CH3O2	+ H		4.674740e+07
  R370	NO2	+ CHO		= NO	+ CO2	+ H	3.323722e+07
  P20	CH2O			= CHO	+ H		3.244969e+07
  R433	O	+ H2		= H	+ OH		6.238627e+06
  R202	H2	+ CH		= CH2	+ H		3.712825e+06
  P59	C2H4			= C2H2	+ H	+ H	5.008895e+05 (x2)
  R512	OH	+ H2		= H2O	+ H		4.165688e+05
  P60	C2H4			= C2H3	+ H		1.001779e+05
  R403	O	+ C2H5		= C2H4O	+ H		8.424578e+04
  T43	HSO2			= SO2	+ H		7.622720e+04
  R395	O	+ C2H3		= C2H2O	+ H		5.896670e+04
  R528	OH	+ SO		= SO2	+ H		1.583505e+04
  P56	C2H2			= C2H	+ H		1.214851e+04
  R322	NH2	+ O		= H	+ HNO		9.084908e+03
  R266	HS	+ O		= H	+ SO		5.319871e+03
  R533	S	+ HS		= H	+ S2		3.754459e+03
  R390	O	+ C2H2		= H	+ C2HO		2.616439e+03
  P63	C2H6			= C2H4	+ H	+ H	1.245061e+03 (x2)
  R44	CH2	+ CH3		= C2H4	+ H		5.614308e+02
  R492	OH	+ CH2		= CH2O	+ H		5.197719e+02
  R295	N	+ OH		= NO	+ H		3.271316e+02
  P41	HCN			= H	+ CN		2.755109e+02
  R203	H2	+ CH3		= CH4	+ H		2.982623e+01
  R281	N	+ CH		= CN	+ H		2.697836e+01
  R195	H2	+ C2H		= C2H2	+ H		7.809815e+00
  R206	H2	+ CHO		= CH2O	+ H		5.062338e+00
  T49	CHO2			= CO2	+ H		2.707879e+00
  P42	NH3			= NH2	+ H		2.226983e+00
  R339	NO	+ CH		= H	+ CNO		2.108230e+00
  P57	C2H3			= C2H2	+ H		5.252817e-01
  R435	O	+ HCN		= H	+ CNO		2.548281e-01
  R527	OH	+ S		= H	+ SO		8.750276e-02
  T18	CH3O2			= CH2O2	+ H		2.525545e-02
  R327	NH3	+ CH		= HCN	+ H2	+ H	7.612544e-03
