Total_Molecules: 84
Total_Reactions: 734
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 1.84e+11

  R202	H2	+ CH		= CH2	+ H		4.943232e+10
  P42	NH3			= NH2	+ H		2.376769e+10
  R512	OH	+ H2		= H2O	+ H		1.952882e+10
  P6	H2O			= H	+ OH		1.841455e+10
  R212	H2	+ NH2		= NH3	+ H		1.795805e+10
  P56	C2H2			= C2H	+ H		9.246393e+09
  R597	CH21	+ H2		= CH3	+ H		8.980665e+09
  T46	CHO			= CO	+ H		8.733441e+09
  P32	CH4			= CH3	+ H		7.592342e+09
  R195	H2	+ C2H		= C2H2	+ H		6.567590e+09
  P20	CH2O			= CHO	+ H		2.330893e+09
  R455	O(1D)	+ H2		= H	+ OH		2.083985e+09
  R533	S	+ HS		= H	+ S2		1.893911e+09
  R511	OH	+ CO		= CO2	+ H		1.652693e+09
  P34	CH4			= CH	+ H2	+ H	1.111075e+09
  P40	CH4O			= CH3O	+ H		8.022192e+08
  P45	H2S			= HS	+ H		6.679157e+08
  P63	C2H6			= C2H4	+ H	+ H	5.510017e+08 (x2)
  P59	C2H4			= C2H2	+ H	+ H	4.080265e+08 (x2)
  R415	O	+ CH3		= CH2O	+ H		3.647607e+08
  P41	HCN			= H	+ CN		2.475669e+08
  R33	CH	+ CH4		= C2H4	+ H		1.941536e+08
  R416	O	+ CH3		= CO	+ H2	+ H	1.490309e+08
  R207	H2	+ CN		= HCN	+ H		1.090728e+08
  P60	C2H4			= C2H3	+ H		8.160530e+07
  R327	NH3	+ CH		= HCN	+ H2	+ H	4.876137e+07
  R304	NH	+ O		= NO	+ H		4.211866e+07
  R322	NH2	+ O		= H	+ HNO		3.989599e+07
  R308	NH	+ OH		= H	+ HNO		1.812154e+07
  R301	NH	+ NO		= N2O	+ H		1.136391e+07
  P68	N2H4			= N2H3	+ H		5.803700e+06
  R433	O	+ H2		= H	+ OH		4.730357e+06
  R44	CH2	+ CH3		= C2H4	+ H		3.111654e+06
  R528	OH	+ SO		= SO2	+ H		2.522796e+06
  R396	O	+ C2H4		= C2H3O	+ H		1.895093e+06
  R289	N	+ NH		= N2	+ H		1.360859e+06
  R527	OH	+ S		= H	+ SO		1.053112e+06
  R445	O	+ OH		= O2	+ H		8.144654e+05
  R206	H2	+ CHO		= CH2O	+ H		4.338489e+05
  R203	H2	+ CH3		= CH4	+ H		2.470577e+05
  R295	N	+ OH		= NO	+ H		1.390153e+05
  R198	H2	+ C2H5		= C2H6	+ H		4.003436e+04
  R390	O	+ C2H2		= H	+ C2HO		3.766561e+04
  P71	HNO			= NO	+ H		3.476230e+04
  R411	O	+ CH2		= CO	+ H	+ H	2.851864e+04 (x2)
  T43	HSO2			= SO2	+ H		2.109782e+04
  R408	O	+ CH		= CO	+ H		1.923267e+04
  P57	C2H3			= C2H2	+ H		1.876357e+04
  R449	O(1D)	+ CH4		= CH3O	+ H		1.829879e+04
  R266	HS	+ O		= H	+ SO		1.442010e+04
  R492	OH	+ CH2		= CH2O	+ H		1.069452e+04
  R427	O	+ CHO		= CO2	+ H		9.943936e+03
  R339	NO	+ CH		= H	+ CNO		8.288163e+03
  R281	N	+ CH		= CN	+ H		6.975690e+03
  R403	O	+ C2H5		= C2H4O	+ H		6.197155e+03
  R506	OH	+ CN		= H	+ CNO		6.034991e+03
  P70	C2H5N			= HCN	+ CH3	+ H	2.711490e+03
  R452	O(1D)	+ CH4O		= CH3O2	+ H		2.385403e+03
  R395	O	+ C2H3		= C2H2O	+ H		1.750340e+03
  R277	N	+ C2H3		= C2H2N	+ H		1.066859e+02
  R546	SO2	+ C2H		= CO	+ OCS	+ H	1.542009e+01
  R204	H2	+ CH3O		= CH4O	+ H		1.505294e+01
  R197	H2	+ C2H3		= C2H4	+ H		4.615598e+00
  R435	O	+ HCN		= H	+ CNO		4.452881e+00
  T47	CH3O			= CH2O	+ H		1.852886e-01
  T18	CH3O2			= CH2O2	+ H		1.479637e-03
  T38	C2H5O			= C2H4O	+ H		1.244416e-03
  T49	CHO2			= CO2	+ H		9.199251e-04
  P28	CH2O2			= CHO2	+ H		1.599564e-04
  T27	C2H5			= C2H4	+ H		3.721378e-06
  R495	OH	+ CH3		= CH3O	+ H		6.560886e-07
  R3	C	+ H2		= CH	+ H		3.593129e-07
  R193	H2	+ C		= CH	+ H		3.593129e-07
  R479	OH	+ C2H2		= C2H2O	+ H		3.309614e-07
  R370	NO2	+ CHO		= NO	+ CO2	+ H	1.195022e-07
  R209	H2	+ HO2		= H2O2	+ H		2.786991e-11
  T42	HSO			= SO	+ H		1.654834e-19
  T8	HNO			= H	+ NO		8.487269e-20
  T25	C2H3			= C2H2	+ H		2.697908e-21
  T59	H2S			= HS	+ H		1.767449e-21
  R213	H2	+ NO2		= H	+ HNO2		7.426657e-22
  R205	H2	+ CH3O2		= CH4O2	+ H		4.131338e-23
  T2	HO2			= O2	+ H		1.944384e-25
  T19	CH4O			= CH3O	+ H		8.542317e-26
  R10	H2	+ C2H4		= C2H5	+ H		9.302318e-37
  T28	C2H6			= C2H5	+ H		1.228872e-39
  R41	H2	+ C2H2		= C2H3	+ H		9.871537e-44
  T57	HCN			= H	+ CN		1.692165e-61
  P38	H2			= H	+ H		0.000000e+00 (x2)

H				LOSS RXS		INT RX RATE	TL = 1.82e+11

  R146	H	+ CH2		= CH	+ H2		5.971436e+10
  M12	H	+ CO		= CHO			3.711324e+10
  M57	H	+ CH3		= CH4			1.802881e+10
  R162	H	+ CHO		= CO	+ H2		1.415853e+10
  M13	H	+ H		= H2			1.224578e+10 (x2)
  R145	H	+ CH		= C	+ H2		8.629539e+09
  M14	H	+ NH2		= NH3			5.653581e+09
  R127	H	+ C2H		= C2H2			2.808800e+09
  M9	H	+ C2H4		= C2H5			1.609811e+09
  R140	H	+ C2H5		= CH3	+ CH3		1.567665e+09
  R152	H	+ CH3O		= CH4O			1.349578e+09
  M7	H	+ C2H2		= C2H3			1.288578e+09
  R131	H	+ C2H3		= C2H4			1.266953e+09
  R153	H	+ CH3O		= CH3	+ OH		7.577048e+08
  R641	N2H3	+ H		= NH2	+ NH2		6.509110e+08
  R639	N2H4	+ H		= N2H3	+ H2		6.484080e+08
  R159	H	+ CH4O		= CH3O	+ H2		5.010971e+08
  R560	HS	+ H		= H2	+ S		3.782460e+08
  R148	H	+ CH2O		= H2	+ CHO		3.470431e+08
