Total_Molecules: 84
Total_Reactions: 735
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 5.86e+11

  R511	OH	+ CO		= CO2	+ H		1.528861e+11
  R415	O	+ CH3		= CH2O	+ H		1.170577e+11
  R445	O	+ OH		= O2	+ H		1.152490e+11
  P32	CH4			= CH3	+ H		6.004340e+10
  R416	O	+ CH3		= CO	+ H2	+ H	4.782644e+10
  R597	CH21	+ H2		= CH3	+ H		3.859276e+10
  R427	O	+ CHO		= CO2	+ H		1.864213e+10
  P34	CH4			= CH	+ H2	+ H	8.786838e+09
  R33	CH	+ CH4		= C2H4	+ H		5.937862e+09
  R408	O	+ CH		= CO	+ H		5.220755e+09
  P40	CH4O			= CH3O	+ H		3.489800e+09
  R455	O(1D)	+ H2		= H	+ OH		2.891629e+09
  P71	HNO			= NO	+ H		2.813284e+09
  P6	H2O			= H	+ OH		2.493850e+09
  R396	O	+ C2H4		= C2H3O	+ H		1.207963e+09
  R411	O	+ CH2		= CO	+ H	+ H	7.136849e+08 (x2)
  R449	O(1D)	+ CH4		= CH3O	+ H		5.929203e+08
  P20	CH2O			= CHO	+ H		2.211171e+08
  P45	H2S			= HS	+ H		1.706775e+08
  R512	OH	+ H2		= H2O	+ H		1.321664e+08
  P63	C2H6			= C2H4	+ H	+ H	9.561219e+07 (x2)
  R452	O(1D)	+ CH4O		= CH3O2	+ H		6.075844e+07
  P59	C2H4			= C2H2	+ H	+ H	3.027478e+07 (x2)
  R433	O	+ H2		= H	+ OH		1.875157e+07
  R403	O	+ C2H5		= C2H4O	+ H		1.393585e+07
  R202	H2	+ CH		= CH2	+ H		6.846745e+06
  P60	C2H4			= C2H3	+ H		6.054957e+06
  P56	C2H2			= C2H	+ H		5.733373e+06
  T43	HSO2			= SO2	+ H		1.818952e+06
  R198	H2	+ C2H5		= C2H6	+ H		4.806335e+05
  R203	H2	+ CH3		= CH4	+ H		3.994313e+05
  R390	O	+ C2H2		= H	+ C2HO		3.361792e+05
