Total_Molecules: 84
Total_Reactions: 735
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 8.48e+10

  R512	OH	+ H2		= H2O	+ H		2.662442e+10
  P6	H2O			= H	+ OH		1.595524e+10
  P42	NH3			= NH2	+ H		1.188023e+10
  R212	H2	+ NH2		= NH3	+ H		1.050436e+10
  R455	O(1D)	+ H2		= H	+ OH		8.744267e+09
  R433	O	+ H2		= H	+ OH		3.445052e+09
  R533	S	+ HS		= H	+ S2		1.956885e+09
  R445	O	+ OH		= O2	+ H		1.863443e+09
  R511	OH	+ CO		= CO2	+ H		1.553674e+09
  T46	CHO			= CO	+ H		8.475776e+08
  P68	N2H4			= N2H3	+ H		6.221317e+08
  P20	CH2O			= CHO	+ H		2.093662e+08
  R427	O	+ CHO		= CO2	+ H		1.909186e+08
  T43	HSO2			= SO2	+ H		1.544945e+08
  R322	NH2	+ O		= H	+ HNO		9.427313e+07
  P45	H2S			= HS	+ H		4.442793e+07
  R597	CH21	+ H2		= CH3	+ H		1.977796e+07
  P32	CH4			= CH3	+ H		1.738206e+07
  R266	HS	+ O		= H	+ SO		1.347472e+07
  P71	HNO			= NO	+ H		1.297170e+07
  R415	O	+ CH3		= CH2O	+ H		1.277370e+07
  R416	O	+ CH3		= CO	+ H2	+ H	5.218967e+06
  P40	CH4O			= CH3O	+ H		4.924667e+06
  P34	CH4			= CH	+ H2	+ H	2.543716e+06
  R203	H2	+ CH3		= CH4	+ H		1.324515e+06
  R202	H2	+ CH		= CH2	+ H		1.054788e+06
  R528	OH	+ SO		= SO2	+ H		1.493691e+05
  R527	OH	+ S		= H	+ SO		6.788195e+04
  R198	H2	+ C2H5		= C2H6	+ H		5.378732e+04
  R206	H2	+ CHO		= CH2O	+ H		3.020925e+04
  P41	HCN			= H	+ CN		2.915400e+04
  R207	H2	+ CN		= HCN	+ H		2.883137e+04
  R204	H2	+ CH3O		= CH4O	+ H		1.818452e+04
  P63	C2H6			= C2H4	+ H	+ H	7.683831e+03 (x2)
  R295	N	+ OH		= NO	+ H		6.386812e+03
  P56	C2H2			= C2H	+ H		3.467573e+03
  R195	H2	+ C2H		= C2H2	+ H		2.979620e+03
  R370	NO2	+ CHO		= NO	+ CO2	+ H	1.530582e+03
  R396	O	+ C2H4		= C2H3O	+ H		8.232891e+02
  P59	C2H4			= C2H2	+ H	+ H	3.810501e+02 (x2)
  R411	O	+ CH2		= CO	+ H	+ H	2.726038e+02 (x2)
  R408	O	+ CH		= CO	+ H		1.887190e+02
  R449	O(1D)	+ CH4		= CH3O	+ H		1.383820e+02
  R403	O	+ C2H5		= C2H4O	+ H		1.087865e+02
  R33	CH	+ CH4		= C2H4	+ H		8.399434e+01
  T47	CH3O			= CH2O	+ H		7.678828e+01
  P60	C2H4			= C2H3	+ H		7.621002e+01
  R506	OH	+ CN		= H	+ CNO		1.636380e+01
  R395	O	+ C2H3		= C2H2O	+ H		1.625593e+01
  R452	O(1D)	+ CH4O		= CH3O2	+ H		3.985775e+00
  R390	O	+ C2H2		= H	+ C2HO		1.361267e+00
  P57	C2H3			= C2H2	+ H		6.909999e-01
  R492	OH	+ CH2		= CH2O	+ H		1.679329e-01
  R435	O	+ HCN		= H	+ CNO		1.177227e-01
  T38	C2H5O			= C2H4O	+ H		4.984458e-02
  R339	NO	+ CH		= H	+ CNO		2.492945e-02
  R304	NH	+ O		= NO	+ H		2.492680e-02
  R44	CH2	+ CH3		= C2H4	+ H		7.942778e-03
  R301	NH	+ NO		= N2O	+ H		4.737884e-03
  R281	N	+ CH		= CN	+ H		3.566755e-03
  R327	NH3	+ CH		= HCN	+ H2	+ H	2.744761e-03
  P70	C2H5N			= HCN	+ CH3	+ H	1.278323e-03
  R277	N	+ C2H3		= C2H2N	+ H		4.000236e-05
  T49	CHO2			= CO2	+ H		1.838213e-05
  R197	H2	+ C2H3		= C2H4	+ H		1.106521e-05
  R546	SO2	+ C2H		= CO	+ OCS	+ H	8.434694e-06
  T27	C2H5			= C2H4	+ H		5.512239e-07
  R308	NH	+ OH		= H	+ HNO		6.511987e-08
  T18	CH3O2			= CH2O2	+ H		4.590410e-09
  P28	CH2O2			= CHO2	+ H		4.428926e-10
  R289	N	+ NH		= N2	+ H		2.329660e-11
  R209	H2	+ HO2		= H2O2	+ H		1.744343e-12
  R213	H2	+ NO2		= H	+ HNO2		2.315297e-14
  R495	OH	+ CH3		= CH3O	+ H		1.140023e-14
  R479	OH	+ C2H2		= C2H2O	+ H		2.190885e-17
  T8	HNO			= H	+ NO		2.916064e-19
  R3	C	+ H2		= CH	+ H		1.049956e-19
  R193	H2	+ C		= CH	+ H		1.049956e-19
  T42	HSO			= SO	+ H		1.482490e-22
  T59	H2S			= HS	+ H		1.456574e-25
  R205	H2	+ CH3O2		= CH4O2	+ H		1.395696e-25
  T25	C2H3			= C2H2	+ H		3.065363e-26
  T19	CH4O			= CH3O	+ H		2.975229e-27
  T2	HO2			= O2	+ H		1.178433e-27
  R10	H2	+ C2H4		= C2H5	+ H		3.323257e-40
  T28	C2H6			= C2H5	+ H		8.047282e-47
  R41	H2	+ C2H2		= C2H3	+ H		3.304336e-49
  T57	HCN			= H	+ CN		3.633783e-68
  P38	H2			= H	+ H		0.000000e+00 (x2)

H				LOSS RXS		INT RX RATE	TL = 8.16e+10

  M13	H	+ H		= H2			2.023678e+10 (x2)
  M12	H	+ CO		= CHO			1.958095e+10
  R162	H	+ CHO		= CO	+ H2		1.465874e+10
  R230	H2S	+ H		= H2	+ HS		1.434541e+09
  M10	H	+ CHO		= CH2O			1.205460e+09
  R560	HS	+ H		= H2	+ S		8.780187e+08
  R575	HSO	+ H		= HS	+ OH		5.740654e+08
  R639	N2H4	+ H		= N2H3	+ H2		3.751306e+08
  M17	H	+ O2		= HO2			3.675508e+08
  M16	H	+ O		= OH			3.518671e+08
  R180	H	+ HO2		= OH	+ OH		3.285993e+08
  M51	H	+ SO		= HSO			3.049254e+08
  M14	H	+ NH2		= NH3			2.118116e+08
  R641	N2H3	+ H		= NH2	+ NH2		2.093455e+08
  R148	H	+ CH2O		= H2	+ CHO		1.749956e+08
  M48	SO2	+ H		= HSO2			1.547548e+08
  R576	HSO	+ H		= H2	+ SO		5.102804e+07
  R147	H	+ CH2O		= CH3O			4.551731e+07
  M57	H	+ CH3		= CH4			3.645604e+07
  R182	H	+ HO2		= H2	+ O2		3.149077e+07
  R152	H	+ CH3O		= CH4O			2.924778e+07
  R172	H	+ HNO		= H2	+ NO		2.166093e+07
  M18	H	+ OH		= H2O			1.831803e+07
  R153	H	+ CH3O		= CH3	+ OH		1.646212e+07
  M15	H	+ NO		= HNO			8.975932e+06
  R189	H	+ NO2		= OH	+ NO		7.514966e+06
  R181	H	+ HO2		= O	+ H2O		7.302207e+06
  R146	H	+ CH2		= CH	+ H2		3.908753e+06
  R157	H	+ CH4		= CH3	+ H2		1.039846e+06
  R154	H	+ CH3O		= CH2O	+ H2		1.028882e+06
  R159	H	+ CH4O		= CH3O	+ H2		3.767755e+05
  R145	H	+ CH		= C	+ H2		3.063269e+05
  R143	H	+ C2H6		= C2H5	+ H2		6.410365e+04
  R140	H	+ C2H5		= CH3	+ CH3		1.726099e+04
  R192	H	+ O3		= OH	+ O2		1.527181e+04
  M9	H	+ C2H4		= C2H5			1.399828e+04
  R186	H	+ NH3		= H2	+ NH2		1.337212e+04
  M7	H	+ C2H2		= C2H3			7.043069e+03
  R131	H	+ C2H3		= C2H4			6.352701e+03
  R190	H	+ NO3		= OH	+ NO2		2.585488e+03
  M58	H	+ C2H5		= C2H6			2.563547e+03
  R138	H	+ C2H4O		= CH4	+ CHO		1.397042e+03
  R133	H	+ C2H3O		= CHO	+ CH3		1.271821e+03
  M23	N	+ H		= NH			1.194025e+03
  R567	HSO3	+ H		= H2	+ SO3		1.125961e+03
  R141	H	+ C2H5		= C2H4	+ H2		8.630496e+02
  R137	H	+ C2H4O		= C2H3O	+ H2		8.589220e+02
  R166	H	+ H2O		= H2	+ OH		8.432699e+02
  R132	H	+ C2H3		= C2H2	+ H2		7.122891e+02
  R134	H	+ C2H3O		= C2H2O	+ H2		6.937206e+02
  R130	H	+ C2H2O		= CO	+ CH3		6.855689e+02
  R127	H	+ C2H		= C2H2			4.880153e+02
  R142	H	+ C2H5O		= C2H4O	+ H2		2.155164e+02
  M56	H	+ CH2		= CH3			1.788361e+02
  R554	SO3	+ H		= OH	+ SO2		1.109822e+02
  R167	H	+ H2O2		= OH	+ H2O		5.954887e+01
  R150	H	+ CH3NO2	= CH4O	+ NO		1.974256e+01
  R163	H	+ CNO		= CO	+ NH		1.647003e+01
  M11	H	+ CN		= HCN			5.860578e+00
  R168	H	+ H2O2		= H2	+ HO2		5.641608e+00
  R136	H	+ C2H4O		= C2H5O			9.842491e-01
  R175	H	+ HNO2		= OH	+ HNO		3.154354e-02
  R177	H	+ HNO2		= H2O	+ NO		2.791605e-02
  R155	H	+ CH3O2		= CH3O	+ OH		2.275962e-02
  R171	H	+ HCNO		= CO	+ NH2		1.828154e-02
  R165	H	+ CO2		= CO	+ OH		9.439155e-04
  R176	H	+ HNO2		= H2	+ NO2		4.728458e-05
  R164	H	+ CNO		= HCN	+ O		2.331585e-08
  R149	H	+ CH3		= CH2	+ H2		3.256673e-09
  R173	H	+ HNO		= OH	+ NH		1.017625e-09
