Total_Molecules: 84
Total_Reactions: 735
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 3.82e+12

  R511	OH	+ CO		= CO2	+ H		1.400133e+12
  P71	HNO			= NO	+ H		7.120671e+11
  P6	H2O			= H	+ OH		6.055470e+11
  R512	OH	+ H2		= H2O	+ H		5.624374e+11
  R445	O	+ OH		= O2	+ H		4.696619e+11
  R427	O	+ CHO		= CO2	+ H		2.845987e+10
  T43	HSO2			= SO2	+ H		1.214131e+10
  P20	CH2O			= CHO	+ H		1.088443e+10
  T46	CHO			= CO	+ H		5.663785e+09
  R528	OH	+ SO		= SO2	+ H		3.824311e+09
  R433	O	+ H2		= H	+ OH		3.807168e+09
  R533	S	+ HS		= H	+ S2		1.837723e+09
  P45	H2S			= HS	+ H		1.457242e+09
  R266	HS	+ O		= H	+ SO		8.485309e+08
  R370	NO2	+ CHO		= NO	+ CO2	+ H	2.145167e+08
  R415	O	+ CH3		= CH2O	+ H		2.091020e+08
  R527	OH	+ S		= H	+ SO		1.308571e+08
  R416	O	+ CH3		= CO	+ H2	+ H	8.543311e+07
  P40	CH4O			= CH3O	+ H		4.297167e+07
  R455	O(1D)	+ H2		= H	+ OH		2.021696e+07
  R403	O	+ C2H5		= C2H4O	+ H		1.336365e+07
  R597	CH21	+ H2		= CH3	+ H		1.019670e+07
  P32	CH4			= CH3	+ H		7.572136e+06
  R408	O	+ CH		= CO	+ H		1.121210e+06
  P34	CH4			= CH	+ H2	+ H	1.108117e+06
  R411	O	+ CH2		= CO	+ H	+ H	5.811337e+05 (x2)
  R295	N	+ OH		= NO	+ H		5.617414e+05
  R322	NH2	+ O		= H	+ HNO		1.916017e+05
  R396	O	+ C2H4		= C2H3O	+ H		5.259902e+04
  R203	H2	+ CH3		= CH4	+ H		1.586427e+04
  R202	H2	+ CH		= CH2	+ H		9.730062e+03
  P42	NH3			= NH2	+ H		7.949722e+03
  R449	O(1D)	+ CH4		= CH3O	+ H		5.311654e+03
  R198	H2	+ C2H5		= C2H6	+ H		3.752334e+03
  R33	CH	+ CH4		= C2H4	+ H		3.271706e+03
  T47	CH3O			= CH2O	+ H		8.422575e+02
  T38	C2H5O			= C2H4O	+ H		5.193265e+02
  T49	CHO2			= CO2	+ H		1.505009e+02
  T18	CH3O2			= CH2O2	+ H		1.051725e+02
  R212	H2	+ NH2		= NH3	+ H		5.553103e+01
  R206	H2	+ CHO		= CH2O	+ H		1.288444e+01
  P59	C2H4			= C2H2	+ H	+ H	1.210609e+01 (x2)
  R395	O	+ C2H3		= C2H2O	+ H		1.106928e+01
